skill,category,demand_2024,demand_2027,growth_rate,automation_risk
Python,Programming,91,87,0.038,0.148
JavaScript,Programming,89,81,0.017,0.182
TypeScript,Programming,77,84,0.118,0.124
Rust,Programming,44,71,0.342,0.048
Go,Programming,54,67,0.276,0.082
SQL,Data,84,77,-0.024,0.248
Data Analysis,Data,79,84,0.078,0.296
Machine Learning,AI/ML,74,91,0.248,0.098
Deep Learning,AI/ML,59,81,0.296,0.078
Prompt Engineering,AI/ML,39,87,0.446,0.052
LLM Fine-tuning,AI/ML,29,77,0.498,0.058
Cloud Architecture,Infrastructure,81,89,0.148,0.118
Kubernetes,Infrastructure,64,79,0.198,0.102
DevOps,Infrastructure,77,81,0.076,0.152
Cybersecurity,Security,69,87,0.218,0.078
React,Frontend,87,79,0.012,0.206
Next.js,Frontend,59,74,0.178,0.148
UI/UX Design,Design,71,67,-0.004,0.346
Figma,Design,64,59,-0.024,0.298
Project Management,Management,74,69,-0.012,0.396
Agile/Scrum,Management,69,61,-0.048,0.448
Communication,Soft Skills,79,81,0.028,0.048
Leadership,Soft Skills,69,71,0.036,0.032
Problem Solving,Soft Skills,84,89,0.058,0.022
Critical Thinking,Soft Skills,81,87,0.048,0.018
Excel,Data,79,54,-0.098,0.604
Manual Testing,QA,64,39,-0.148,0.698
Data Entry,Admin,49,19,-0.248,0.848
Bookkeeping,Finance,54,29,-0.178,0.746
Technical Writing,Content,59,49,-0.048,0.448
Apache Spark,Data Engineering,61,77,0.218,0.118
Apache Kafka,Data Engineering,57,75,0.248,0.098
Apache Airflow,Data Engineering,49,71,0.296,0.108
dbt,Data Engineering,37,67,0.416,0.088
Snowflake,Data Engineering,54,74,0.278,0.128
Data Warehousing,Data Engineering,59,64,0.058,0.218
ETL Pipelines,Data Engineering,57,61,0.038,0.276
MLflow,MLOps,34,69,0.478,0.082
Kubeflow,MLOps,27,61,0.448,0.092
Feature Stores,MLOps,21,57,0.516,0.072
Model Monitoring,MLOps,29,64,0.458,0.078
Solidity,Blockchain,31,49,0.198,0.062
Web3 Development,Blockchain,27,47,0.216,0.072
Smart Contracts,Blockchain,29,51,0.238,0.058
Unity,AR/VR,47,61,0.178,0.138
Unreal Engine,AR/VR,39,57,0.218,0.122
3D Modeling,AR/VR,41,54,0.148,0.178
AR Development,AR/VR,29,54,0.318,0.098
VR Development,AR/VR,27,49,0.296,0.112
Embedded Systems,IoT,51,64,0.178,0.082
Edge Computing,IoT,34,61,0.346,0.072
MQTT,IoT,29,47,0.248,0.098
IoT Security,IoT,31,57,0.328,0.062
React Native,Mobile,61,67,0.078,0.182
Flutter,Mobile,49,69,0.238,0.148
Swift,Mobile,57,61,0.048,0.162
Kotlin,Mobile,54,64,0.118,0.138
MongoDB,Databases,67,71,0.048,0.178
PostgreSQL,Databases,71,79,0.098,0.148
Redis,Databases,54,67,0.158,0.118
Neo4j,Databases,27,47,0.296,0.098
Playwright,Testing,34,64,0.398,0.122
Cypress,Testing,47,57,0.118,0.182
Jest,Testing,59,61,0.028,0.198
Network Security,Networking,64,81,0.198,0.082
DNS Management,Networking,49,44,-0.038,0.348
Load Balancing,Networking,51,59,0.098,0.198
AWS,Cloud,79,87,0.118,0.098
Azure,Cloud,71,81,0.138,0.108
GCP,Cloud,59,74,0.178,0.102
Terraform,Cloud,54,77,0.276,0.088
Pulumi,Cloud,21,49,0.448,0.082
Computer Vision,AI/ML,51,77,0.316,0.072
NLP,AI/ML,57,81,0.298,0.082
Reinforcement Learning,AI/ML,34,59,0.346,0.062
RAG Architecture,AI/ML,19,71,0.578,0.048
AI Agents,AI/ML,14,69,0.618,0.042
Generative AI,AI/ML,24,79,0.548,0.052
GraphQL,Backend,49,59,0.118,0.158
gRPC,Backend,34,51,0.218,0.122
WebSockets,Backend,41,49,0.098,0.142
Docker,Infrastructure,74,81,0.078,0.118
Linux Administration,Infrastructure,71,69,-0.012,0.178
Git,DevTools,87,87,0.002,0.098
Microservices,Architecture,67,74,0.098,0.148
API Design,Architecture,69,77,0.118,0.138
System Design,Architecture,64,79,0.178,0.082
Event-Driven Architecture,Architecture,41,61,0.248,0.098
CI/CD,DevOps,71,79,0.098,0.148
Site Reliability Engineering,DevOps,54,74,0.238,0.092
Observability,DevOps,44,69,0.276,0.098
Rust for WebAssembly,Programming,19,47,0.416,0.052
HTMX,Frontend,17,41,0.378,0.118
Svelte,Frontend,24,44,0.318,0.142
Vue.js,Frontend,54,51,-0.022,0.198
Angular,Frontend,59,47,-0.078,0.218
